num,code,url,status_code,launch_date,year,month,launch_vehicle,launch_site,
521,2022-166N,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2022-166N,200,2022-12-08,2022,12,Falcon 9 Full Thrust,Cape Canaveral, United States
522,2023-004P,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023-004P,200,2023-01-10,2023,1,Falcon 9 Full Thrust,Cape Canaveral, United States
523,2022-166P,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2022-166P,200,2022-12-08,2022,12,Falcon 9 Full Thrust,Cape Canaveral, United States
524,2022-166Q,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2022-166Q,200,2022-12-08,2022,12,Falcon 9 Full Thrust,Cape Canaveral, United States
525,2022-166R,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2022-166R,200,2022-12-08,2022,12,Falcon 9 Full Thrust,Cape Canaveral, United States
526,2022-166S,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2022-166S,200,2022-12-08,2022,12,Falcon 9 Full Thrust,Cape Canaveral, United States
527,2022-166T,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2022-166T,200,2022-12-08,2022,12,Falcon 9 Full Thrust,Cape Canaveral, United States
528,2022-166U,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2022-166U,200,2022-12-08,2022,12,Falcon 9 Full Thrust,Cape Canaveral, United States
529,2022-166V,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2022-166V,200,2022-12-08,2022,12,Falcon 9 Full Thrust,Cape Canaveral, United States
530,2022-166W,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2022-166W,200,2022-12-08,2022,12,Falcon 9 Full Thrust,Cape Canaveral, United States
531,2022-166X,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2022-166X,200,2022-12-08,2022,12,Falcon 9 Full Thrust,Cape Canaveral, United States
532,2023-004Q,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023-004Q,200,2023-01-10,2023,1,Falcon 9 Full Thrust,Cape Canaveral, United States
533,2023-004R,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023-004R,200,2023-01-10,2023,1,Falcon 9 Full Thrust,Cape Canaveral, United States
534,2022-166Y,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2022-166Y,200,2022-12-08,2022,12,Falcon 9 Full Thrust,Cape Canaveral, United States
535,2022-166Z,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2022-166Z,200,2022-12-08,2022,12,Falcon 9 Full Thrust,Cape Canaveral, United States
536,2022166AA,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2022166AA,200,2022-12-08,2022,12,Falcon 9 Full Thrust,Cape Canaveral, United States
537,2022166AB,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2022166AB,200,2022-12-08,2022,12,Falcon 9 Full Thrust,Cape Canaveral, United States
538,2022166AC,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2022166AC,200,2022-12-08,2022,12,Falcon 9 Full Thrust,Cape Canaveral, United States
539,2022166AD,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2022166AD,200,2022-12-08,2022,12,Falcon 9 Full Thrust,Cape Canaveral, United States
540,2022166AE,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2022166AE,200,2022-12-08,2022,12,Falcon 9 Full Thrust,Cape Canaveral, United States
541,2022166AF,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2022166AF,200,2022-12-08,2022,12,Falcon 9 Full Thrust,Cape Canaveral, United States
542,2022166AG,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2022166AG,200,2022-12-08,2022,12,Falcon 9 Full Thrust,Cape Canaveral, United States
543,2023043AA,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023043AA,200,2023-03-26,2023,3,Soyuz ST-B/Fregat M,Sriharikota, Indian
544,2022166AH,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2022166AH,200,2022-12-08,2022,12,Falcon 9 Full Thrust,Cape Canaveral, United States
545,2022166AJ,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2022166AJ,200,2022-12-08,2022,12,Falcon 9 Full Thrust,Cape Canaveral, United States
546,2022166AK,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2022166AK,200,2022-12-08,2022,12,Falcon 9 Full Thrust,Cape Canaveral, United States
547,2023043AB,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023043AB,200,2023-03-26,2023,3,Soyuz ST-B/Fregat M,Sriharikota, Indian
548,2023-004S,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023-004S,200,2023-01-10,2023,1,Falcon 9 Full Thrust,Cape Canaveral, United States
549,2022166AL,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2022166AL,200,2022-12-08,2022,12,Falcon 9 Full Thrust,Cape Canaveral, United States
550,2023-004T,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023-004T,200,2023-01-10,2023,1,Falcon 9 Full Thrust,Cape Canaveral, United States
551,2023-004U,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023-004U,200,2023-01-10,2023,1,Falcon 9 Full Thrust,Cape Canaveral, United States
552,2023-004V,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023-004V,200,2023-01-10,2023,1,Falcon 9 Full Thrust,Cape Canaveral, United States
553,2023-004W,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023-004W,200,2023-01-10,2023,1,Falcon 9 Full Thrust,Cape Canaveral, United States
554,2023-004X,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023-004X,200,2023-01-10,2023,1,Falcon 9 Full Thrust,Cape Canaveral, United States
555,2023-004Y,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023-004Y,200,2023-01-10,2023,1,Falcon 9 Full Thrust,Cape Canaveral, United States
