num;code;url;status_code;launch_date;launch_vehicle;launch_site;
36;2019029AL;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019029AL;200;2019-05-24;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
37;2019029AM;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019029AM;200;2019-05-24;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
38;2019029AN;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019029AN;200;2019-05-24;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
39;2019029AQ;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019029AQ;200;2019-05-24;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
40;2019-029Q;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019-029Q;200;2019-05-24;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
41;2019029AR;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019029AR;200;2019-05-24;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
42;2019029AG;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019029AG;200;2019-05-24;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
43;2019029AS;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019029AS;200;2019-05-24;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
44;2019029AT;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019029AT;200;2019-05-24;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
45;2019-029W;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019-029W;200;2019-05-24;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
46;2019029AV;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019029AV;200;2019-05-24;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
47;2019029AW;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019029AW;200;2019-05-24;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
48;2019029AJ;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019029AJ;200;2019-05-24;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
49;2019029AY;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019029AY;200;2019-05-24;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
50;2019-029T;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019-029T;200;2019-05-24;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
51;2019029AE;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019029AE;200;2019-05-24;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
52;2019029BB;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019029BB;200;2019-05-24;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
53;2019029BL;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019029BL;200;2019-05-24;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
54;2019029BD;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019029BD;200;2019-05-24;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
55;2019029BE;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019029BE;200;2019-05-24;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
56;2019029BJ;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019029BJ;200;2019-05-24;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
57;2019029BH;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019029BH;200;2019-05-24;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
58;2019029BF;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019029BF;200;2019-05-24;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
59;2019029AZ;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019029AZ;200;2019-05-24;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
60;2019029BK;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019029BK;200;2019-05-24;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
61;2019-074A;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019-074A;200;2019-11-11;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
62;2019-074B;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019-074B;200;2019-11-11;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
63;2019-074C;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019-074C;200;2019-11-11;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
